cam-altitude,cam-heading,cam-latitude,cam-longitude,cam-pitch,cam-roll,cam-yaw,corrected-x,corrected-y,id,image-name,image-time,type,x,y,
0,312.466,48.508325200527906,-71.63455976732075,0,0,0,48.508317837307175,-71.63461140614685,559,images/img559.jpg,14:42:34,1,0.49444444444444446,0.7898148148148149,
0,312.466,48.508325200527906,-71.63455976732075,0,0,0,48.50828955179119,-71.63463103320129,559,images/img559.jpg,14:42:34,1,0.3625,0.8870370370370371,
0,312.466,48.508325200527906,-71.63455976732075,0,0,0,48.50843779365646,-71.63451129921246,559,images/img559.jpg,14:42:34,nest,0.9847222222222223,0.21666666666666667,
0,302.198,48.50847783498466,-71.6348384320736,0,0,0,48.50839858012727,-71.63476990863575,568,images/img568.jpg,14:42:38,1,0.9875,0.37407407407407406,
0,302.198,48.50847783498466,-71.6348384320736,0,0,0,48.50851635186077,-71.63483371212905,568,images/img568.jpg,14:42:38,1,0.39652777777777776,0.6972222222222222,
0,302.198,48.50847783498466,-71.6348384320736,0,0,0,48.50844108636598,-71.63475602528196,568,images/img568.jpg,14:42:38,1,0.94375,0.5833333333333334,
0,302.198,48.50847783498466,-71.6348384320736,0,0,0,48.508469567905735,-71.63474112989933,568,images/img568.jpg,14:42:38,1,0.9152777777777777,0.7379629629629629,
0,302.198,48.50847783498466,-71.6348384320736,0,0,0,48.5084857948952,-71.63474566210465,568,images/img568.jpg,14:42:38,1,0.85625,0.7944444444444444,
0,302.198,48.50847783498466,-71.6348384320736,0,0,0,48.50851889534717,-71.6347972205156,568,images/img568.jpg,14:42:38,1,0.5576388888888889,0.812962962962963,
0,297.56,48.508569080382586,-71.63507791981101,0,0,0,48.508527383736386,-71.63514933108802,574,images/img574.jpg,14:42:41,1,0.8951388888888889,0.35,
0,297.56,48.508569080382586,-71.63507791981101,0,0,0,48.50849598307144,-71.63512126544249,574,images/img574.jpg,14:42:41,1,0.9270833333333334,0.562037037037037,
0,297.56,48.508569080382586,-71.63507791981101,0,0,0,48.5084754830608,-71.63510592467503,574,images/img574.jpg,14:42:41,1,0.9430555555555555,0.6814814814814815,
0,295.674,48.50859290175139,-71.63516671769321,0,0,0,48.50859485738991,-71.6351549354438,576,images/img576.jpg,14:42:42,2,0.5618055555555556,0.5361111111111111,
